mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,charge_C_per_m,capacitance_F_per_m
cv_quasistatic,gate,0,drain,-5.4795851476119711e-20,1.9544158052402436e-16,1.9538678467254824e-16,1,19,attempted_step=0;accepted_step=0;retry_count=0,,-5.4598073295625812e-12,0
cv_quasistatic,gate,-0.050000000000000003,drain,3.0665772250380122e-09,-1.2020230510360444e-09,1.8645541740019679e-09,1,7,attempted_step=-0.050000000000000003;accepted_step=-0.050000000000000003;retry_count=0,,-5.1957861198323727e-12,-5.280424194604171e-12
