node_id,x_um,y_um,sentaurus_holes_cm3,vela_holes_cm3,delta_log10_holes_decade,delta_psi_V,delta_phip_V,delta_phip_minus_psi_V,predicted_delta_log10_holes_decade,density_relation_residual_decade,minus_100mV_plateau
12,0.1875,0.1875,1.7397045197679182,0.03630494839377312,-1.6805096680112086,-5.575870899843238e-05,-0.10009011905818088,-0.10003436034918245,-1.6805032902393653,-6.37777184331334e-06,1
13,0.1875,0.25,2.2690249290329185,0.047366581231285516,-1.6803672274932193,-4.5750367064112396e-05,-0.10007163054016166,-0.10002588017309755,-1.6803608295512302,-6.397941989089162e-06,1
14,0.28125,0.0625,0.9093837040001486,0.020712872353340787,-1.6425068386880046,-0.00026493541324290604,-0.09803712596039693,-0.09777219054715403,-1.642500510173406,-6.328514598585855e-06,0
15,0.28125,-0.0,0.8833703020616704,0.020712930515610815,-1.6299012463883504,-0.00027253825209738736,-0.09729436303121508,-0.0970218247791177,-1.629894920077499,-6.326310851401118e-06,0
16,0.28125,0.125,0.9937893354863936,0.02078489692888694,-1.679546456744286,-0.00024318867375905384,-0.10022021502645462,-0.09997702635269556,-1.6795401214901229,-6.335254163047921e-06,1
17,0.375,0.0625,4.082046249118991,4.293252262064467,0.021908486503218222,-0.0006682394589443419,0.0006362780156443648,0.0013045174745887067,0.021914929036070813,-6.4425328525907766e-06,0
18,0.375,-0.0,4.238933588281428,4.441695240670823,0.020292144366497608,-0.0006854372801456954,0.0005228652889255336,0.001208302569071229,0.020298589762967115,-6.445396469507286e-06,0
19,0.375,0.125,3.663411777849082,0.07775196342710905,-1.6731743725023622,-0.0006191128112109645,-0.10021682584473934,-0.09959771303352838,-1.6731679381856361,-6.434316726089406e-06,1
20,0.28125,0.1875,1.1564334881871938,0.024173956752295524,-1.6797729187392876,-0.00021070964316116658,-0.10020121578470542,-0.09999050614154426,-1.6797665719760648,-6.346763222753182e-06,1
21,0.28125,0.25,1.432996583997556,0.02994491447016029,-1.6799220781467004,-0.00017243665470578762,-0.10017182075397635,-0.09999938409927056,-1.6799157151016626,-6.3630450377605285e-06,1
22,0.375,0.1875,3.1183418379608887,0.06604586849229317,-1.6740780661120152,-0.0005452169222648351,-0.10019672433772175,-0.09965150741545692,-1.6740716440274264,-6.422084588786348e-06,1
23,0.375,0.25,2.6147241431220074,0.055219029689975364,-1.67533710603614,-0.0004574218558635046,-0.10018387621854563,-0.09972645436268213,-1.67533069732637,-6.408709769978316e-06,1
24,0.09375,0.3125,4.258060022664939,0.08897201735605409,-1.679958341172538,-9.276538206037799e-06,-0.10001081432348613,-0.10000153778528009,-1.6799518954342256,-6.4457383124327805e-06,1
25,-0.0,0.3125,4.733813159582064,0.09893261013596161,-1.6798716454142564,-4.360627035460141e-06,-0.10000073724464631,-0.09999637661761085,-1.679865191633458,-6.453780798443276e-06,1
26,0.09375,0.375,5.758136690259791,0.1203705483572375,-1.6797617312258524,-7.088378414010776e-06,-0.09999692131147686,-0.09998983293306285,-1.6797552625713355,-6.468654516922356e-06,1
27,-0.0,0.375,6.353067092527373,0.13282755539961685,-1.6796952619664203,-3.555842315705604e-06,-0.09998943165328544,-0.09998587581096974,-1.679688785845997,-6.476120423259957e-06,1
28,0.1875,0.3125,3.0674072948019555,0.06406367274739505,-1.6801596130757896,-3.5433629518522025e-05,-0.1000489538949827,-0.10001352026546417,-1.6801531922416855,-6.420834104181594e-06,1
29,0.1875,0.375,4.231241323428781,0.08841781814838312,-1.6799280016786398,-2.5911488529484217e-05,-0.1000256433006288,-0.09999973181209931,-1.679921556420093,-6.445258546650123e-06,1
