node_id,x_um,y_um,sentaurus_holes_cm3,vela_holes_cm3,log10_error_decade
1997,0.65625,1.34375,32.03443401625861,23792.743094946214,2.8708274599854278
2314,0.46875,1.5625,76.96794143100959,44359.207908546385,2.760673911490076
1931,-0.0,1.3125,54.047379101349286,30317.37216933104,2.748916916353876
1992,0.46875,1.5,52.668614372975135,29435.613325886054,2.747321196368241
2313,0.46875,1.53125,63.79286222363448,34972.272044017875,2.7389517597631223
1934,-0.0,1.34375,44.66753227257803,23057.94788622367,2.7128286934313586
1919,-0.0,1.25,77.11632682986809,38320.61495325178,2.696286134570863
1933,0.09375,1.34375,44.47552195828272,21846.295434141208,2.691256748851538
1935,0.09375,1.375,38.45924141540958,18843.63253759655,2.690163912841043
1939,0.09375,1.40625,36.365185824346455,17732.253804731827,2.6880781276647756
1930,0.09375,1.3125,53.68285901401143,25914.05651195745,2.6836997643094955
1917,-0.0,1.1875,92.68634803300436,43426.73014791648,2.6707413593178044
1918,0.09375,1.25,76.39236306801607,35519.07115699088,2.6674116558206817
1913,-0.0,1.125,94.14784909847846,42703.38106784216,2.656651859357723
1916,0.09375,1.1875,91.50898273842061,41436.32905240153,2.655917545677861
1991,0.46875,1.46875,43.51297154221362,19606.528289690592,2.653781957653745
2317,0.46875,1.59375,92.42007140681936,41577.0029155202,2.6530868802078347
1912,0.09375,1.125,92.64592124265474,41188.53264573519,2.6479500161918796
1911,-0.0,1.0625,86.1118072229987,38274.208557670325,2.6478435151910285
1910,0.09375,1.0625,84.44621639092271,37050.72513449804,2.6422165163513647
