model,VBE_V,VCE_V,sentaurus_Ic_A_per_um,vela_Ic_A_per_um,Ic_magnitude_ratio_vela_over_sentaurus,Ic_absolute_log10_error,sentaurus_Ib_A_per_um,vela_Ib_A_per_um,Ib_magnitude_ratio_vela_over_sentaurus,Ib_absolute_log10_error,sentaurus_Ie_A_per_um,vela_Ie_A_per_um,Ie_magnitude_ratio_vela_over_sentaurus,Ie_absolute_log10_error,sentaurus_beta_abs,vela_beta_abs,beta_magnitude_ratio_vela_over_sentaurus,beta_absolute_log10_error,sentaurus_kcl_abs_A_per_um,sentaurus_kcl_relative,vela_kcl_abs_A_per_um,vela_kcl_relative,vela_converged
M1,0.7,1.0,2.65892621947877e-06,2.6379664226775712e-06,0.9921171950362325,0.00343702325783757,6.03783538767264e-08,6.008836928678414e-08,0.995197209408287,0.0020908504389090046,-2.71930457335552e-06,-2.698054791658373e-06,0.992185582334043,0.0034070880821962086,44.037739500276224,43.90144805040942,0.996905121574963,0.0013461728189286491,2.345222472710344e-20,8.624346443901381e-15,3.0598244656393947e-16,1.1340853696149951e-10,1
M1,0.7,1.1,2.6675562666964e-06,2.6465287286947237e-06,0.9921173029172061,0.003436976033468087,6.03663768018693e-08,6.007635120298598e-08,0.9951955771698008,0.0020915627326557598,-2.7279226434983e-06,-2.7066050804202468e-06,0.9921854224389899,0.0034071580706601322,44.18943802858476,44.05275413203162,0.9969068650190862,0.0013454133008123017,3.0652004778764994e-20,1.1236390757568083e-14,5.225370603809012e-16,1.9305995697745767e-10,1
M1,0.7,1.2,2.6759328774395e-06,2.6548406109311744e-06,0.9921177893936906,0.0034367630808259508,6.03548795837753e-08,6.006481420649569e-08,0.9951940028829485,0.002092249737953365,-2.7362877570233e-06,-2.7149054270324815e-06,0.9921856427797348,0.0034070616242128787,44.336645121214836,44.199597484879384,0.9969089308412765,0.001344513342872648,2.4577190360175558e-20,8.98194654311947e-15,1.894811485398008e-15,6.97929094152324e-10,1
M1,0.7,1.3,2.68408476447343e-06,2.6629305104456125e-06,0.9921186341400929,0.0034363932975714838,6.03438045443224e-08,6.005370057471538e-08,0.9951924812862282,0.00209291375076149,-2.74442856901779e-06,-2.7229842097864746e-06,0.9921862206677909,0.003406808674049069,44.47987303322871,44.342488222396,0.9969113038895124,0.0013434795468099975,3.746797302620194e-20,1.3652376836906141e-14,1.2338532933935442e-15,4.531253941756416e-10,1
M1,0.7,1.4,2.6920382661959e-06,2.6708243911558384e-06,0.9921197721048599,0.00343589516003182,6.03331013397187e-08,6.004295975175549e-08,0.9951910049123863,0.0020935580296325583,-2.75237136753565e-06,-2.7308673508793823e-06,0.9921870947685663,0.0034064260674695566,44.619590347888646,44.48189100267914,0.9969139262791098,0.001342337130399268,3.1499037726019294e-20,1.1444326916618857e-14,2.8211544039047744e-17,1.0330616765388909e-11,1
M1,0.7,1.5,2.69981791677235e-06,2.6785464260475015e-06,0.9921211387654326,0.003435296912972089,6.03227255392248e-08,6.003254736280843e-08,0.9951895711968838,0.0020941836936275216,-2.7601406423116e-06,-2.7385789733701714e-06,0.9921881991769191,0.003405942652407005,44.75623229286607,44.61823700166559,0.9969167357453707,0.0013411132193446103,2.542422330742986e-20,9.211205732667751e-15,4.0138575264666145e-17,1.4656716368223077e-11,1
M1,0.7,1.6,2.70744724675695e-06,2.6861198044076704e-06,0.9921226748278009,0.003434624512326722,6.03126368277914e-08,6.00224230970072e-08,0.995188177038042,0.002094792096220883,-2.76775988358477e-06,-2.746142227375086e-06,0.992189475561845,0.0034053839614510005,44.89021520460847,44.751938789049056,0.9969196758151159,0.0013398324161058332,2.848148285142585e-20,1.0290445721229607e-14,1.2959172635583288e-16,4.719046415877148e-11,1
M1,0.7,1.7,2.71494867690767e-06,2.6935666573771562e-06,0.9921243374829215,0.0034338966977555552,6.03027985537507e-08,6.001255037658046e-08,0.9951868207756307,0.002095383961856126,-2.77525147546145e-06,-2.7535792106226234e-06,0.9921908825090442,0.0034047681224537514,45.02193500170161,44.883389232334714,0.9969227051355821,0.0013385127358994332,2.955350892529457e-20,1.064894809951614e-14,2.8688866824811346e-15,1.041875487515915e-09,1
M1,0.7,1.8,2.72234275095979e-06,2.700907306828377e-06,0.9921261038405779,0.0034331234895281556,6.02931783632538e-08,6.000289638420602e-08,0.9951854921746057,0.002095963756992989,-2.78263592932307e-06,-2.7609102032049807e-06,0.9921923935901401,0.0034041067036748598,45.15175389425058,45.01294886723686,0.9969258109587765,0.001337159732535125,2.6033028238268887e-20,9.355527959635713e-15,7.602279520284956e-18,2.75354102841154e-12,1
M1,0.7,1.9,2.7296479138092e-06,2.70815998858178e-06,0.9921279498653605,0.0034323154091565524,6.02837481827726e-08,5.999343333707432e-08,0.9951841938424586,0.00209653034368403,-2.78993166199201e-06,-2.768153423892982e-06,0.9921939886930857,0.003403408508591952,45.279996617550346,45.140940232007196,0.9969289665209636,0.001335785065472465,3.7441503246600245e-20,1.3420222350488337e-14,1.974127981451146e-15,7.13156996433687e-10,1
