model,VBE_V,VCE_V,sentaurus_Ic_A_per_um,vela_Ic_A_per_um,Ic_magnitude_ratio_vela_over_sentaurus,Ic_absolute_log10_error,sentaurus_Ib_A_per_um,vela_Ib_A_per_um,Ib_magnitude_ratio_vela_over_sentaurus,Ib_absolute_log10_error,sentaurus_Ie_A_per_um,vela_Ie_A_per_um,sentaurus_beta_abs,vela_beta_abs,beta_magnitude_ratio_vela_over_sentaurus,sentaurus_kcl_abs_A_per_um,sentaurus_kcl_relative,vela_kcl_abs_A_per_um,vela_kcl_relative,vela_converged
M0,0.7,1.6,1.78793363104216e-06,3.2956050055407853e-06,1.8432479530125656,0.26558376027710767,1.60686726843338e-08,7.181401445599039e-09,0.44691939319920104,0.3497707995650585,-1.80400230372651e-06,-3.302786406922905e-06,111.26828370742227,458.90833850549086,4.124340946178169,1.6103552165182343e-20,8.92656962350735e-15,6.34793001811005e-17,1.9219922925697768e-11,1
M0,0.7,1.7,1.79211410114341e-06,3.303305162234367e-06,1.8432448916766975,0.26558303898381846,1.60663067815207e-08,7.177113992328913e-09,0.44671834603481836,0.34996621135606376,-1.80818040792493e-06,-3.3104822735839596e-06,111.54486998870712,460.2553569255031,4.126190267397323,7.709323308994218e-22,4.26358082147425e-16,2.642736190396226e-15,7.982934122571738e-10,1
M0,0.7,1.8,1.79622759700778e-06,3.3108772879882344e-06,1.8432392941204176,0.26558172011864395,1.60639995100882e-08,7.172935723550177e-09,0.44652240676710486,0.35015674306625294,-1.81229159651787e-06,-3.3180502192547778e-06,111.81696039518353,461.5791100870965,4.127988352176481,1.9223677435732363e-21,1.0607386511458013e-15,4.45700683332051e-15,1.3432608124664062e-09,1
M0,0.7,1.9,1.80028532183527e-06,3.3183424216085217e-06,1.843231393024798,0.26557985849948584,1.60617432009466e-08,7.1688524035854066e-09,0.4463309065458667,0.3503430390443317,-1.81634706503622e-06,-3.3255112773131594e-06,112.08530103564165,462.88335075065805,4.129741781248081,3.467541127822292e-21,1.9090740941369295e-15,3.301052308794372e-15,9.92645050195545e-10,1
M0,0.7,2.0,1.80429747755317e-06,3.3257197049064427e-06,1.8432213901980798,0.26557750166883987,1.60595310340386e-08,7.164851419968629e-09,0.44614325317361614,0.3505256702710007,-1.82035700858721e-06,-3.3328845573827827e-06,112.35057074387252,464.1714824172871,4.1314563810758616,1.31687153518442e-21,7.23413884733771e-16,1.0563714574373924e-15,3.169541096457689e-10,1
M0,0.7,2.1,1.80827341602406e-06,3.333026670208072e-06,1.8432094619499313,0.26557469116048776,1.60573568990778e-08,7.1609214639946645e-09,0.4459589152188508,0.3507051496188507,-1.82433077292314e-06,-3.340187593164294e-06,112.61339131896061,465.44661702640275,4.133137378911667,2.1903742620404173e-21,1.2006453514626423e-15,1.492227210909484e-15,4.467495220817335e-10,1
M0,0.7,2.2,1.81222140723342e-06,3.340278960358989e-06,1.8431958407655815,0.26557148174388034,1.6055215470068e-08,7.157052586108465e-09,0.4457774235077364,0.3508819302350787,-1.82827662270349e-06,-3.3474360157389556e-06,112.8743124383459,466.7115296654839,4.134789568888055,1.8330322374175093e-21,1.0026011461586088e-15,2.793858104607834e-15,8.346262905315255e-10,1
M0,0.7,2.3,1.81614824700709e-06,3.3474896161112063e-06,1.8431808205236995,0.26556794265454375,1.60531023691924e-08,7.153236492459418e-09,0.4455983851562072,0.3510563917100437,-1.83220134937629e-06,-3.3546428567108263e-06,113.13378593364422,467.9685369888108,4.136417190734569,7.732484366145703e-21,4.220324566826654e-15,4.107160613529439e-15,1.2243212732208532e-09,1
M0,0.7,2.4,1.82005902991998e-06,3.354668599770249e-06,1.8431647241231177,0.2655641499672514,1.60510142455249e-08,7.149466746712424e-09,0.44542149407821563,0.3512288296586671,-1.83611004416551e-06,-3.361818073031311e-06,113.39215093073766,469.21941434483114,4.1380237564365485,5.082197683525802e-21,2.7679156266669193e-15,6.514349590540171e-15,1.937746019869023e-09,1
M0,0.7,2.5,1.82395723506158e-06,3.3618228713935597e-06,1.8431478582775318,0.26556017594524056,1.60489487024329e-08,7.145738692313975e-09,0.44524652828074246,0.35139945817442,-1.84000618376401e-06,-3.368968616424219e-06,113.64963954212664,470.46540828725915,4.139611970461827,2.838883862281991e-21,1.5428664791085789e-15,6.3383453663373766e-15,1.8813904455615904e-09,1
M0,0.7,2.6,1.82784507060333e-06,3.368956955694742e-06,1.8431304763607377,0.2655560802856819,1.60469040877041e-08,7.142049110377149e-09,0.4450733344788747,0.3515684246696,-1.84389197469104e-06,-3.376098997763074e-06,113.90639967767437,471.70733547600014,4.141183786080587,5.770411953169921e-21,3.1294739780711957e-15,7.042045156016106e-15,2.0858526840243736e-09,1
M0,0.7,2.7,1.8317239228782e-06,3.3760736956114398e-06,1.843112738466937,0.2655519007082914,1.60448792441959e-08,7.1383957693353125e-09,0.4449018070308985,0.35173583030060895,-1.8477688021224e-06,-3.3832120854043606e-06,114.16252469091101,472.9457156346209,4.142740508893758,4.116050728063866e-21,2.227578863403285e-15,5.976414506808313e-15,1.7664912384864616e-09,1
M0,0.7,2.8,1.83559474498103e-06,3.383175063735982e-06,1.8430947642372695,0.2655476654020828,1.60428732914081e-08,7.134777002852727e-09,0.44473186774303197,0.3519017495951893,-1.85163761827244e-06,-3.390309836787927e-06,114.41807908338332,474.1809116645515,4.1442831016153265,1.856193294568994e-21,1.0024603498284964e-15,3.950907860932745e-15,1.165353035897139e-09,1
M0,0.7,2.9,1.83945827133161e-06,3.39026255142321e-06,1.8430766298215346,0.2655433923090308,1.60408855004423e-08,7.131191452810766e-09,0.44456345334639635,0.3520662426320282,-1.85549915683206e-06,-3.3973937388239816e-06,114.67311273313996,475.4132004248652,4.1458122928189525,7.5405784640334e-21,4.063908321525523e-15,4.052039188443785e-15,1.1926904856916617e-09,1
M0,0.7,3.0,1.84331503939666e-06,3.39733726092001e-06,1.8430583965896576,0.2655390958891033,1.6038915270621e-08,7.127637991223058e-09,0.4443965112951861,0.3522293591173015,-1.85935395466729e-06,-3.4044648964674257e-06,114.92766239454609,476.64279037508305,4.147328680007175,8.95009422782376e-21,4.813550537463576e-15,2.443807386744186e-15,7.178242282010172e-10,1
