model,VBE_V,VCE_V,sentaurus_Ic_A_per_um,vela_Ic_A_per_um,Ic_magnitude_ratio_vela_over_sentaurus,Ic_absolute_log10_error,sentaurus_Ib_A_per_um,vela_Ib_A_per_um,Ib_magnitude_ratio_vela_over_sentaurus,Ib_absolute_log10_error,sentaurus_Ie_A_per_um,vela_Ie_A_per_um,sentaurus_beta_abs,vela_beta_abs,beta_magnitude_ratio_vela_over_sentaurus,sentaurus_kcl_abs_A_per_um,sentaurus_kcl_relative,vela_kcl_abs_A_per_um,vela_kcl_relative,vela_converged
M0,0.7,0.0,-8.49407158293213e-08,-1.4335893710839427e-07,1.6877528722086326,0.22730885574146734,1.01347928127904e-07,1.5149353772632565e-07,1.4947867265242605,0.17457923272666095,-1.64072122985827e-08,-8.134600602106359e-09,0.8381100373568926,0.9463039761298161,1.1290927610342545,9.926167350636332e-24,9.794149257900194e-17,1.5825025563684712e-17,1.0446007005442538e-10,1
M0,0.7,0.1,1.65480876982543e-06,3.0402405213400613e-06,1.8372156207878836,0.26416012931781074,1.79713943928101e-08,1.0428422275747463e-08,0.580278972672238,0.23636316649883576,-1.67278016421825e-06,-3.0506689437279164e-06,92.08015436395281,291.53408262058036,3.166090289860646,9.975798187389514e-21,5.963603826000389e-15,1.12107561771824e-16,3.674851773159909e-11,1
M0,0.7,0.2,1.70836719934077e-06,3.1472211144910367e-06,1.84223925377723,0.26534603185849437,1.61581598445554e-08,7.340427265409075e-09,0.454286090497024,0.3426705603741646,-1.72452535918533e-06,-3.154561541938253e-06,105.72783137285373,428.75176072133524,4.055240282091135,4.5263323118901674e-21,2.624682952779783e-15,1.8180708810575586e-16,5.7633076954982587e-11,1
M0,0.7,0.3,1.7183400932454e-06,3.166435492437648e-06,1.8427292157615052,0.2654615214693966,1.6112875338906e-08,7.2621005563190144e-09,0.4507017154650241,0.3461107889102162,-1.73445296858431e-06,-3.1736975928489065e-06,106.64391408132552,436.0219839812626,4.088578215994181,3.904292491250291e-21,2.2510224041629914e-15,1.4506030407713685e-16,4.570703409297474e-11,1
M0,0.7,0.4,1.72597350882336e-06,3.180762462642063e-06,1.842880233318569,0.2654971118338377,1.6106778423975e-08,7.2509740402482436e-09,0.45018152292050784,0.34661233398752017,-1.74208028724734e-06,-3.1880134369528086e-06,107.15820776762172,438.66692184891156,4.09363809816775,4.9730098426688024e-21,2.85463872077139e-15,2.704973884206078e-16,8.484825856918492e-11,1
M0,0.7,0.5,1.73274041047151e-06,3.1933920544931997e-06,1.8429719969560934,0.26551873638031137,1.61022558420764e-08,7.242659755350473e-09,0.44979162089977853,0.34698863923138806,-1.74884266631358e-06,-3.2006347141052403e-06,107.60855047053279,440.91427215452165,4.097390683422135,6.465243667714464e-21,3.696869816964541e-15,1.433099146275389e-16,4.477546718967028e-11,1
M0,0.7,0.6,1.73895513810381e-06,3.20497391928562e-06,1.843045774476037,0.26553612163008017,1.6098215281559e-08,7.2352379080564865e-09,0.44944348062885414,0.34732491481913547,-1.75505335338538e-06,-3.212209156763223e-06,108.02161032694328,442.96731635000697,4.100728687614462,1.0978341089803783e-20,6.255274843142119e-15,4.3045363955075777e-16,1.340054830005228e-10,1
M0,0.7,0.7,1.74478100261894e-06,3.215812647346774e-06,1.8431038866882408,0.2655498149498926,1.60944983887357e-08,7.228423112132886e-09,0.44912385198608934,0.3476338798941547,-1.76087550100768e-06,-3.2230410690175197e-06,108.40853566707528,444.88439559508384,4.103776449497782,4.238473458721714e-21,2.407026195944121e-15,1.441387206499956e-15,4.472134160360961e-10,1
M0,0.7,0.8,1.75030767517514e-06,3.226073628647733e-06,1.8431465932553397,0.2655598778723846,1.6091029864644e-08,7.222078278957972e-09,0.4488263547895512,0.347921649515656,-1.76639870503979e-06,-3.2332957082670052e-06,108.77536676636228,446.6960207350733,4.106591722136208,6.074814418589435e-21,3.4390958288505955e-15,1.3403144384132006e-15,4.14535062470852e-10,1
M0,0.7,0.9,1.75558817773396e-06,3.23586074201158e-06,1.8431775646770954,0.26556717550384035,1.60877648026905e-08,7.2161171546404675e-09,0.4485469077365957,0.348192132985743,-1.77167594253665e-06,-3.243076859670519e-06,109.12567403026412,448.4213147690785,4.109219198451105,3.407984123718474e-22,1.9235933851644395e-16,5.042982564425184e-16,1.5549993979906868e-10,1
M0,0.7,1.0,1.76065856815918e-06,3.2452466752125213e-06,1.8432004557280641,0.26557256912167654,1.60846721677704e-08,7.210478947858896e-09,0.4482826179265789,0.3484481004938406,-1.77674324032695e-06,-3.252457153633441e-06,109.46188705587005,450.0736634389836,4.111692896444066,2.481541837659083e-22,1.3966800499561425e-16,5.269392039315258e-16,1.620126504488652e-10,1
M0,0.7,1.1,1.76554613505647e-06,3.2542858899850733e-06,1.8432177020856988,0.2655766326856202,1.60817284634178e-08,7.205118115515847e-09,0.44803132523384026,0.3486916201523068,-1.7816278635199e-06,-3.2614910092539683e-06,109.78584416921835,451.6630869627436,4.11403756450215,1.2073528220823992e-20,6.776683542078616e-15,1.1533791547644161e-15,3.536355462860035e-10,1
M0,0.7,1.2,1.7702730616501e-06,3.263021459067488e-06,1.843230589537398,0.2655796691850994,1.60789148819533e-08,7.199998981914298e-09,0.4477913487803492,0.3489243011394131,-1.78635197653206e-06,-3.2702214577192765e-06,110.09903806612125,453.19748895296834,4.116271103847386,6.733250186181645e-21,3.769274070641588e-15,3.301259345484249e-16,1.0094910660229778e-10,1
M0,0.7,1.3,1.77485868887225e-06,3.2714900703473963e-06,1.8432397412022192,0.26558182545772635,1.60762155137861e-08,7.1950918238606505e-09,0.44756129436623476,0.34914747882376096,-1.79093490438604e-06,-3.2786851592888904e-06,110.40276782494155,454.6835746415842,4.118407387779863,3.920836103501351e-21,2.189267791866212e-15,2.882366502115721e-15,8.791226854916664e-10,1
M0,0.7,1.4,1.77932029322643e-06,3.2797241972790784e-06,1.8432455414376103,0.2655831920766226,1.60736165921243e-08,7.190371079239725e-09,0.44733996471975324,0.3493623008393352,-1.79539390981856e-06,-3.2869145709404407e-06,110.69819184926034,456.12725144998507,4.120458011374761,5.67445900211377e-21,3.1605649161900205e-15,2.5821225714205316e-15,7.855764169379503e-10,1
M0,0.7,1.5,1.78367365402009e-06,3.2877533095657892e-06,1.8432482321840464,0.26558382605373,1.60711059787311e-08,7.18581435751613e-09,0.44712631271463293,0.3495697717993408,-1.79974475999882e-06,-3.2949391243311874e-06,110.98636623892891,457.5338501650694,4.122432922797932,1.2109924167776325e-21,6.728689776979412e-16,4.0788201476016604e-16,1.237904554133329e-10,1
