mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics
iv,collector,0,collector,-5.5931114652878365e-18,-3.1270652765798398e-16,-3.182996391232718e-16,1,13,attempted_step=0;accepted_step=0;retry_count=0,
iv,collector,0.050000000000000003,collector,4.5890679374171437e-10,-0.055186648324172,-0.055186647865265205,1,14,attempted_step=0.050000000000000003;accepted_step=0.050000000000000003;retry_count=0,
iv,collector,0.10000000000000001,collector,3.0470040472365852e-09,-0.14212180372159769,-0.14212180067459365,1,15,attempted_step=0.050000000000000003;accepted_step=0.050000000000000003;retry_count=0,
