mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um
iv,drain,0,drain,4.5390826625242695e-20,-5.375762145175548e-20,-8.3667948265127849e-21,1,1,attempted_step=0;accepted_step=0;retry_count=0,,-8.3667948265127854e-27,4.5390826625242693e-26,-5.3757621451755483e-26
iv,drain,-0.050000000000000003,drain,-1.5107873256777873e-09,7.3588492010582814e-07,7.3437413278015036e-07,1,1,attempted_step=-0.050000000000000003;accepted_step=-0.050000000000000003;retry_count=0,,7.3437413278015033e-13,-1.5107873256777872e-15,7.3588492010582819e-13
iv,drain,-0.10000000000000001,drain,-1.8829467578773553e-09,8.9879964419608882e-07,8.9691669743821149e-07,1,1,attempted_step=-0.050000000000000003;accepted_step=-0.050000000000000003;retry_count=0,,8.9691669743821144e-13,-1.8829467578773553e-15,8.9879964419608881e-13
