mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um,charge_C_per_m,capacitance_F_per_m,charge_C_per_um,capacitance_F_per_um,charge_gate_C_per_m,capacitance_Cgate_gate_F_per_m,charge_drain_C_per_m,capacitance_Cgate_drain_F_per_m,charge_source_C_per_m,capacitance_Cgate_source_F_per_m,charge_body_C_per_m,capacitance_Cgate_body_F_per_m
cv_quasistatic,gate,0,drain,5.0777765434179943e-20,-4.2186678312555485e-20,8.5910871216244579e-21,1,1,attempted_step=0;accepted_step=0;retry_count=0,,8.5910871216244577e-27,5.0777765434179941e-26,-4.2186678312555488e-26,-4.5809507074195958e-12,0,-4.5809507074195959e-18,0,-4.5809507074195958e-12,0,-2.5040626432642578e-12,0,-3.0045284852326526e-12,0,9.2764042107731518e-13,0
cv_quasistatic,gate,-0.050000000000000003,drain,7.4085116562416705e-17,-8.1515940947112573e-17,-7.4308243846958686e-18,1,1,attempted_step=-0.050000000000000003;accepted_step=-0.050000000000000003;retry_count=0,,-7.430824384695869e-24,7.4085116562416704e-23,-8.1515940947112571e-23,-4.5617570894583615e-12,-3.8387235922468649e-13,-4.5617570894583613e-18,-3.8387235922468649e-19,-4.5617570894583615e-12,-3.8387235922468649e-13,-2.5039083034886546e-12,-3.0867955120636416e-15,-3.0044120347117213e-12,-2.3290104186260562e-15,9.4656324874201481e-13,-3.7845655329399275e-13
cv_quasistatic,gate,-0.10000000000000001,drain,2.1990324314296662e-16,-3.0346754553253986e-16,-8.3564302389573239e-17,1,1,attempted_step=-0.050000000000000003;accepted_step=-0.050000000000000003;retry_count=0,,-8.356430238957324e-23,2.1990324314296662e-22,-3.0346754553253988e-22,-4.541855962303511e-12,-3.9802254309701039e-13,-4.5418559623035109e-18,-3.9802254309701037e-19,-4.541855962303511e-12,-3.9802254309701039e-13,-2.50373499090864e-12,-3.4662516002932192e-15,-3.0042733742237677e-12,-2.7732097590702296e-15,9.6615240282889898e-13,-3.9178308173768329e-13
