mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um,max_electric_field_V_per_m,max_electric_field_V_per_cm,current_jump_ratio,breakdown_detected,breakdown_voltage,criterion,last_stable_bias,failed_bias,failure_reason
bv_reverse,drain,0,drain,5.6414948728266003e-20,-4.3578372504555482e-20,1.2836576223710521e-20,1,1,attempted_step=0;accepted_step=0;retry_count=0,,1.2836576223710521e-26,5.6414948728266001e-26,-4.3578372504555481e-26,6575145.0268439921,65751.450268439919,0,0,0,,0,0,
bv_reverse,drain,-0.10000000000000001,drain,-1.9402139378317715e-09,5.3018424167674124e-08,5.1078210229842354e-08,1,1,attempted_step=-0.10000000000000001;accepted_step=-0.10000000000000001;retry_count=0,,5.1078210229842351e-14,-1.9402139378317713e-15,5.3018424167674125e-14,8575145.0268439911,85751.450268439905,3979114784166.1602,1,-0.10000000000000001,current_jump,0,0,
bv_reverse,drain,-0.20000000000000001,drain,-2.2947172973928041e-09,6.1015297544456301e-08,5.8720580247063495e-08,1,1,attempted_step=-0.10000000000000001;accepted_step=-0.10000000000000001;retry_count=0,,5.8720580247063496e-14,-2.2947172973928041e-15,6.1015297544456306e-14,10575145.026843993,105751.45026843993,1.1496209437024498,0,0,,0,0,
