mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um
iv,gate,0,drain,-4.5325647977218735e-10,8.6361450165864462e-08,8.5908193686092269e-08,1,1,attempted_step=0;accepted_step=0;retry_count=0,,8.5908193686092272e-14,-4.5325647977218736e-16,8.6361450165864457e-14
iv,gate,-0.050000000000000003,drain,-4.5252018943713727e-10,1.5563298297850129e-07,1.5518046278906416e-07,1,1,attempted_step=-0.050000000000000003;accepted_step=-0.050000000000000003;retry_count=0,,1.5518046278906415e-13,-4.5252018943713726e-16,1.5563298297850129e-13
iv,gate,-0.10000000000000001,drain,-4.5133584861799258e-10,3.7906295048353682e-07,3.786116146349188e-07,1,1,attempted_step=-0.050000000000000003;accepted_step=-0.050000000000000003;retry_count=0,,3.7861161463491879e-13,-4.5133584861799262e-16,3.7906295048353684e-13
