mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um
iv,gate,0,drain,-1.9195706947158896e-09,8.8811521714848265e-08,8.6891951020132374e-08,1,1,attempted_step=0;accepted_step=0;retry_count=0,,8.6891951020132379e-14,-1.9195706947158898e-15,8.8811521714848271e-14
iv,gate,-0.050000000000000003,drain,-1.9077364279619278e-09,1.6008012025462006e-07,1.5817238382665813e-07,1,1,attempted_step=-0.050000000000000003;accepted_step=-0.050000000000000003;retry_count=0,,1.5817238382665812e-13,-1.9077364279619277e-15,1.6008012025462006e-13
iv,gate,-0.10000000000000001,drain,-1.88998837201482e-09,3.9001626659692127e-07,3.8812627822490643e-07,1,1,attempted_step=-0.050000000000000003;accepted_step=-0.050000000000000003;retry_count=0,,3.8812627822490645e-13,-1.8899883720148202e-15,3.9001626659692127e-13
