id,mesh,branch,bias_V,contact,component,reference_delta_dex,candidate_delta_dex,error_dex,pass
P1,M0,forward,0.14,Cathode,total,0.2341949883162835,0.23419013759529622,4.850720987270574e-06,True
P1,M0,forward,0.14,Cathode,electron,0.25625034261402047,0.2562432402004604,7.102413560056142e-06,True
P1,M0,forward,0.14,Cathode,hole,0.16864370573601511,0.1686437041768169,1.559198214984292e-09,True
P1,M0,forward,0.16,Anode,total,0.24038962683431642,0.24039431257403396,4.685739717541493e-06,True
P1,M0,forward,0.16,Anode,electron,0.2898046030467313,0.28980460529274865,2.2460173720872945e-09,True
P1,M0,forward,0.16,Anode,hole,0.1362360779846698,0.1362297651544662,6.3128302036086215e-06,True
P1,M0,forward,0.16,Cathode,total,0.24038962683431664,0.24038602843077472,3.5984035419156513e-06,True
P1,M0,forward,0.16,Cathode,electron,0.2654235806269128,0.2654182017296272,5.378897285579498e-06,True
P1,M0,forward,0.16,Cathode,hole,0.16864372249945647,0.1686437241171537,1.6176972261749967e-09,True
P1,M0,forward,0.18,Anode,total,0.24497935535410584,0.24498491782882137,5.562474715531396e-06,True
P1,M0,forward,0.18,Anode,electron,0.2898046104986642,0.28980461317322526,2.674561072613102e-09,True
P1,M0,forward,0.18,Anode,hole,0.1446233881437709,0.14461839595762124,4.99218614966046e-06,True
P1,M0,forward,0.18,Cathode,total,0.24497935535410997,0.2449767344584466,2.620895663385525e-06,True
P1,M0,forward,0.18,Cathode,electron,0.27233389705963845,0.27232992207382234,3.974985816113108e-06,True
P1,M0,forward,0.18,Cathode,hole,0.16864374394309764,0.16864374514658995,1.2034923058124036e-09,True
P1,M0,forward,0.2,Anode,total,0.2483091753382549,0.2483148827181655,5.707379910624422e-06,True
P1,M0,forward,0.2,Anode,electron,0.28980461929360635,0.2898046229795387,3.68593233712744e-09,True
P1,M0,forward,0.2,Anode,hole,0.15116022412781083,0.15115641191837337,3.812209437459302e-06,True
P1,M0,forward,0.2,Cathode,total,0.2483091753382562,0.2483072944449215,1.8808933346936563e-06,True
P1,M0,forward,0.2,Cathode,electron,0.27740950562722866,0.2774066222089536,2.883418275034799e-06,True
P1,M0,forward,0.2,Cathode,hole,0.1686437653887878,0.16864376761959368,2.230805873359998e-09,True
P1,M0,forward,0.22,Anode,total,0.2506889431127053,0.25061558391950906,7.335919319623185e-05,True
P1,M0,forward,0.22,Anode,electron,0.28980463032317205,0.28969756096136484,0.0001070693618072105,True
P1,M0,forward,0.22,Anode,hole,0.15608819447316055,0.15608535848041355,2.8359927470023027e-06,True
P1,M0,forward,0.22,Cathode,total,0.250688943112706,0.2506876075906037,1.3355221022970376e-06,True
P1,M0,forward,0.22,Cathode,electron,0.2810696577001297,0.28106759478273563,2.0629173940744927e-06,True
P1,M0,forward,0.22,Cathode,hole,0.16864379088637602,0.16864379201953597,1.1331599547581561e-09,True
P1,M0,forward,0.24,Anode,total,0.25237208753926377,0.2522966703785777,7.54171606860421e-05,True
P1,M0,forward,0.24,Anode,electron,0.2898046446932139,0.2896952836938312,0.0001093609993826905,True
P1,M0,forward,0.24,Anode,hole,0.15971201374465416,0.15970994686708045,2.066877573703163e-06,True
P1,M0,forward,0.24,Cathode,total,0.25237208753926255,0.2523711476464319,9.39892830620348e-07,True
P1,M0,forward,0.24,Cathode,electron,0.2836750766820625,0.2836736160528262,1.4606292362828732e-06,True
P1,M0,forward,0.24,Cathode,hole,0.1686438168559157,0.1686438190402992,2.1843835074086826e-09,True
P1,M0,forward,0.26,Anode,total,0.2535541887504573,0.25355353486875076,6.538817065582236e-07,True
P1,M0,forward,0.26,Anode,electron,0.28980466300441843,0.28980467298678,9.982361548477314e-09,True
P1,M0,forward,0.26,Anode,hole,0.16232924246724761,0.16232776236068114,1.4801065664760138e-06,True
P1,M0,forward,0.26,Cathode,total,0.2535541887504573,0.2535535339110527,6.54839404645724e-07,True
P1,M0,forward,0.26,Cathode,electron,0.2855132587035758,0.28551223401069753,1.0246928782708942e-06,True
P1,M0,forward,0.26,Cathode,hole,0.168643842036436,0.1686438496345673,7.598131290809107e-09,True
P1,M0,forward,0.28,Anode,total,0.25438061952512614,0.25438016748273407,4.5204239207397023e-07,True
P1,M0,forward,0.28,Anode,electron,0.28980468809909865,0.28980470193244,1.3833341361291218e-08,True
P1,M0,forward,0.28,Anode,hole,0.16419568031985532,0.1641946289575597,1.0513622956120905e-06,True
P1,M0,forward,0.28,Cathode,total,0.25438061952512764,0.2543801665174457,4.530076819220241e-07,True
P1,M0,forward,0.28,Cathode,electron,0.2868024839307094,0.28680177135806795,7.125726414480837e-07,True
P1,M0,forward,0.28,Cathode,hole,0.16864387767844363,0.16864388516433568,7.485892045133724e-09,True
P1,M0,forward,0.3,Anode,total,0.2549567833879715,0.25495647579664027,3.0759133123892113e-07,True
P1,M0,forward,0.3,Anode,electron,0.28980472203245033,0.2898047413755147,1.934306437245681e-08,True
P1,M0,forward,0.3,Anode,hole,0.16551522108200378,0.1655144818700221,7.392119816818088e-07,True
P1,M0,forward,0.3,Cathode,total,0.254956783387968,0.25495647484737766,3.0854059035467785e-07,True
P1,M0,forward,0.3,Cathode,electron,0.2877033034886639,0.28770281430973516,4.89178928753109e-07,True
P1,M0,forward,0.3,Cathode,hole,0.16864391833645204,0.16864392754942867,9.212976631589598e-09,True
