id,mesh,branch,bias_V,contact,component,reference_A_per_um,candidate_A_per_um,absolute_error_A_per_um,relative_error,log_error_dex,pass
P0,original,forward,0.06,Anode,hole,4.54367793503826e-18,4.541968247711835e-18,1.709687326425513e-21,0.00037627828179488177,0.00016344633402524652,True
P0,original,forward,0.06,Cathode,total,-8.60839332660623e-18,-8.604579955561604e-18,3.813371044626144e-21,0.00044298290051873426,0.00019242765350024264,True
P0,original,forward,0.06,Cathode,electron,-6.8245146732099e-18,-6.821623859437346e-18,2.8908137725537404e-21,0.00042359257924989564,0.00018400289362541927,True
P0,original,forward,0.06,Cathode,hole,-1.78387865339632e-18,-1.782956096124258e-18,9.225572720620033e-22,0.0005171636928921986,0.0002246594359241141,True
P0,original,forward,0.08,Anode,total,1.80473031449113e-17,1.803955073966334e-17,7.752405247960073e-21,0.00042956031633712414,0.00018659575496546025,True
P0,original,forward,0.08,Anode,electron,9.31785200896475e-18,9.313551488166003e-18,4.300520798747436e-21,0.0004615356408976966,0.0002004886519325231,True
P0,original,forward,0.08,Anode,hole,8.72945113594651e-18,8.725999251497339e-18,3.451884449171037e-21,0.0003954297235202702,0.00017176691001487236,True
P0,original,forward,0.08,Cathode,total,-1.80473031449112e-17,-1.8039023391752424e-17,8.279753158776686e-21,0.0004587806328898137,0.00019929161633144724,True
P0,original,forward,0.08,Cathode,electron,-1.39579848539324e-17,-1.395181192877875e-17,6.1729251536493234e-21,0.0004422504550798547,0.00019210941563046368,True
P0,original,forward,0.08,Cathode,hole,-4.08931829097883e-18,-4.087211462973672e-18,2.1068280051574066e-21,0.0005152027441358962,0.00022380736687618185,True
P0,original,forward,0.1,Anode,total,3.72028444506894e-17,3.718820528564831e-17,1.463916504109145e-20,0.0003934958538048069,0.00017092670964093858,True
P0,original,forward,0.1,Anode,electron,2.06920615181133e-17,2.0684294094592872e-17,7.767423520428802e-21,0.00037538181073110567,0.00016305685521124797,True
P0,original,forward,0.1,Anode,hole,1.65107829325761e-17,1.6503911191055436e-17,6.871741520662647e-21,0.00041619719359913367,0.00018078976927124959,True
P0,original,forward,0.1,Cathode,total,-3.72028444506894e-17,-3.7185212313428627e-17,1.7632137260776365e-20,0.0004739459447555663,0.00020588090059148447,True
