id,mesh,branch,bias_V,vela_kcl_A_per_um,sentaurus_kcl_A_per_um,electron_continuity_ratio,hole_continuity_ratio,continuity_pass,electron_source_ratio_qualified,electron_port_net_A_per_um,electron_port_net_over_through_current,hole_source_ratio_qualified,hole_port_net_A_per_um,hole_port_net_over_through_current,converged,pass
P0,original,forward,0.0,9.000370045230736e-38,7.031155174596202e-41,1.2311519669154867e-14,1.384502741089879e-14,True,False,-7.224948000914584e-37,7.224948000914584e-15,False,8.124985005437658e-37,8.124985005437657e-15,True,True
P0,original,forward,0.02,1.5724580172220588e-24,0.0,2.9330520168335896e-06,3.5716527775194946e-07,True,True,-6.1045129930566015e-19,0.5411952438158326,True,6.104528717636772e-19,0.7288338371575784,True,True
P0,original,forward,0.04,4.526798671259436e-25,1.0014835710813626e-32,3.4481796536153263e-07,3.983233827291469e-08,True,True,-1.4842657192647741e-18,0.4754361088558509,True,1.4842661719446414e-18,0.6737553431288326,True,True
P0,original,forward,0.06,1.1954551236794169e-23,2.9274135154685985e-32,4.836380731005336e-06,5.034729481045143e-07,True,True,-2.7590001970363403e-18,0.40444918305183497,True,2.759012151587577e-18,0.6074485776023467,True,True
P0,original,forward,0.08,5.273479109152198e-22,9.860761315262648e-32,0.00011831303661797321,4.631296334732259e-06,True,True,-4.638260440612748e-18,0.3324486069831039,True,4.638787788523666e-18,0.5316053388072057,True,True
P0,original,forward,0.1,2.992972219684916e-21,0.0,0.0004108293679019746,7.87395505668549e-06,True,True,-7.424500387832299e-18,0.26413442926107755,True,7.427493360051984e-18,0.4500444333508917,True,True
P0,original,forward,0.12,1.0072793659732001e-20,2.0954117794933126e-31,0.0008748985743691149,4.987657434978887e-06,True,True,-1.1568978835674795e-17,0.20340958628657546,True,1.1579051629334511e-17,0.3680773422999731,True,True
P0,original,forward,0.14,2.4025201624281756e-20,0.0,0.0013530627241371209,1.287714004145318e-06,True,True,-1.7749029120604864e-17,0.15252738831743615,True,1.7773054322229127e-17,0.2911585096097309,True,True
P0,original,forward,0.16,5.035636815815588e-20,0.0,0.0018632028383051243,1.7669236896984173e-07,True,True,-2.697897940986729e-17,0.11193621500154306,True,2.702933577802541e-17,0.22348701690390776,True,True
P0,original,forward,0.18,1.040679733963157e-19,1.9721522630525295e-30,0.002545598075454316,1.6869324068931708e-08,True,True,-4.077774376744473e-17,0.08079108612328971,True,4.0881811740840994e-17,0.1672394937414262,True,True
P0,original,forward,0.2,2.184428579986038e-19,1.00579765415679e-29,0.0035436850174506993,1.5114955998579514e-09,True,True,-6.142443729763895e-17,0.05759630189688522,True,6.16428801556377e-17,0.12264114722591533,True,True
P0,original,forward,0.22,4.651045256526913e-19,0.0,0.005011483708992253,3.891404870817039e-10,True,True,-9.234265234041162e-17,0.040699600826965054,True,9.280775686606431e-17,0.08857226378027071,True,True
P0,original,forward,0.24,9.986627853369657e-19,9.466330862652142e-30,0.007149839483597673,4.314011556106722e-10,True,True,-1.3867759812183948e-16,0.028584101533568905,True,1.3967626090717606e-16,0.06327130213400727,True,True
P0,original,forward,0.26,2.2694424784574286e-22,0.0,1.0790646002109473e-06,6.721935373837716e-14,True,True,-2.1031551110757792e-16,0.020198918464968504,True,2.1031573805182656e-16,0.04486629219518789,True,True
P0,original,forward,0.28,4.887474639214098e-22,0.0,1.5414710735398257e-06,1.0412008387932708e-13,True,True,-3.1706512007177405e-16,0.01415184000221652,True,3.170656088192443e-16,0.03167312521075802,True,True
P0,original,forward,0.3,1.0565235308206143e-21,0.0,2.206080544637609e-06,2.1815190562787342e-13,True,True,-4.789134480946799e-16,0.009915965665259534,True,4.789145046182171e-16,0.022311554173496565,True,True
P0,original,forward,0.32,2.2855123008488135e-21,0.0,3.1510910399946657e-06,4.733630711524669e-14,True,True,-7.253059564961132e-16,0.006957613005555871,True,7.253082420084141e-16,0.015713781812302402,True,True
P0,original,forward,0.34,4.945601457429412e-21,0.0,4.486403055749311e-06,2.456412345330062e-13,True,True,-1.1023484103510003e-15,0.004894830621517063,True,1.102353355952382e-15,0.011083975145522453,True,True
P0,original,forward,0.36,1.0702905192927201e-20,1.0097419586828951e-27,6.358941244249088e-06,4.592911297000996e-13,True,True,-1.6831168387293528e-15,0.003457419112880064,True,1.6831275416345962e-15,0.00784340550541942,True,True
P0,original,forward,0.38,2.316279511934406e-20,0.0,8.959714328431845e-06,7.289348139651535e-13,True,True,-2.5851927534985295e-15,0.00245568913891332,True,2.58521591629375e-15,0.005578036018613971,True,True
P0,original,forward,0.4,5.0126292494603565e-20,2.0194839173657902e-26,1.2527470424280812e-05,4.581466169366316e-13,True,True,-4.001260211725908e-15,0.0017571261304267067,True,4.001310338018403e-15,0.003994838757498218,True,True
P0,original,forward,0.42,1.0847088690783072e-19,1.0501316370302109e-26,1.7344047099581243e-05,8.882992925318154e-13,True,True,-6.253963961068103e-15,0.0012694391778754746,True,6.254072431955819e-15,0.0028878893028528216,True,True
P0,original,forward,0.44,2.3470614632331114e-19,0.0,2.3714313824036846e-05,1.0186584286421644e-12,True,True,-9.89700431725158e-15,0.0009284638205346136,True,9.897239023397904e-15,0.0021131259236767484,True,True
P0,original,forward,0.46,5.077961355566794e-19,1.0339757656912846e-25,3.1922937672648284e-05,1.0233709488284805e-12,True,True,-1.5906430695101395e-14,0.0006896272308553598,True,1.590693849124503e-14,0.001570039902777677,True,True
P0,original,forward,0.48,1.0984849321013956e-18,1.0339757656912846e-25,4.216412278895988e-05,3.948254138806973e-12,True,True,-2.6051501575808887e-14,0.0005219713154459215,True,2.6052600060728064e-14,0.0011886121160062295,True,True
P0,original,forward,0.5,2.3758366081266906e-18,1.0081263715490025e-24,5.445231403735251e-05,3.859359319831808e-12,True,True,-4.3629141571485357e-14,0.00040398699795522915,True,4.3631517408125795e-14,0.000920092185161284,True,True
P0,original,forward,0.52,5.137093266383942e-18,0.0,6.854038571473895e-05,5.969213872137576e-12,True,True,-7.49447714220125e-14,0.0003207193821928419,True,7.494990851526596e-14,0.0007305348477216549,True,True
P0,original,forward,0.54,1.110252933408155e-17,2.0679515313825692e-24,8.388601905919682e-05,6.844594614786223e-12,True,True,-1.3234151524005465e-13,0.0002617593926770049,True,1.3235261776944043e-13,0.0005962886993453669,True,True
P0,original,forward,0.56,2.397621634819557e-17,0.0,9.969738841988168e-05,3.826924491730088e-12,True,True,-2.4046595999841294e-13,0.000219851255170402,True,2.4048993621455434e-13,0.0005008552111788366,True,True
P0,original,forward,0.58,5.169956666152064e-17,0.0,0.00011504627198444162,6.044470006287792e-12,True,True,-4.493290222721509e-13,0.00018992637454560917,True,4.4938072183860563e-13,0.0004327031850841782,True,True
P0,original,forward,0.6,1.11148197697385e-16,9.926167350636332e-24,0.00012897982297400314,5.958317611296064e-12,True,True,-8.616377295192935e-13,0.00016843110886916583,True,8.617488777169908e-13,0.0003837449301049076,True,True
P0,original,forward,0.62,6.28657265540301e-23,0.0,4.44075818927864e-12,6.669608420762677e-12,True,True,-1.6901508987369753e-12,0.00015287652700567793,True,1.690150898675764e-12,0.0003482653517283262,True,True
P0,original,forward,0.64,6.617444900424222e-24,0.0,8.87701359613224e-12,4.552759415479258e-12,True,True,-3.3751348305561697e-12,0.0001414132284082564,True,3.3751348305611328e-12,0.0003221520215894949,True,True
P0,original,forward,0.66,1.4558378780933287e-22,9.26442286059391e-23,4.4822807946079176e-12,6.390467749611699e-13,True,True,-6.822905680533276e-12,0.00013270395344164876,True,6.822905680374457e-12,0.0003023099338909919,True,True
P0,original,forward,0.68,6.617444900424221e-22,0.0,1.504521399863028e-11,3.4875762601797433e-12,True,True,-1.38528786089675e-11,0.00012562083430692412,True,1.3852878608312374e-11,0.00028617002676832164,True,True
P0,original,forward,0.7,7.940933880509066e-22,0.0,6.5660782225004016e-12,1.2417726872511798e-13,True,True,-2.79177013076209e-11,0.00011907474401413649,True,2.791770130684004e-11,0.0002712512986794132,True,True
