pair,id,branch,bias_V,contact,component,tool,relative_error,absolute_error_A_per_um,pass
M0/M1,P0,forward,0.08,Cathode,total,candidate,0.023689481619026828,4.1744603281833743e-19,False
M0/M1,P0,forward,0.08,Cathode,electron,reference,0.03074212907711667,4.163002170136997e-19,False
M0/M1,P0,forward,0.08,Cathode,electron,candidate,0.030756586153161194,4.1630595543429695e-19,False
M0/M1,P0,forward,0.08,Cathode,hole,reference,0.00026243740118092254,1.0729084817796793e-21,True
M0/M1,P0,forward,0.08,Cathode,hole,candidate,0.0002790155326359827,1.1400773840389415e-21,True
M0/M1,P0,forward,0.1,Anode,total,reference,0.018309456385409994,6.689163592378017e-19,True
M0/M1,P0,forward,0.1,Anode,total,candidate,0.018333763790917536,6.694865135042747e-19,True
M0/M1,P0,forward,0.1,Anode,electron,reference,0.00026335719819114837,5.4479685813985245e-21,True
M0/M1,P0,forward,0.1,Anode,electron,candidate,0.0002946884878557457,6.0930001337526174e-21,True
M0/M1,P0,forward,0.1,Anode,hole,reference,0.04186629835396317,6.634683906564001e-19,False
M0/M1,P0,forward,0.1,Anode,hole,candidate,0.04187953492865028,6.633935133705159e-19,False
M0/M1,P0,forward,0.1,Cathode,total,reference,0.01830945638541274,6.689163592379003e-19,True
M0/M1,P0,forward,0.1,Cathode,total,candidate,0.018323527315033724,6.69103909563513e-19,True
M0/M1,P0,forward,0.1,Cathode,electron,reference,0.024276797504803865,6.6652462677909935e-19,False
M0/M1,P0,forward,0.1,Cathode,electron,candidate,0.024290756517517824,6.665918618771701e-19,False
M0/M1,P0,forward,0.1,Cathode,hole,reference,0.0002634439207627002,2.3917324588487224e-21,True
M0/M1,P0,forward,0.1,Cathode,hole,candidate,0.0002768430427134942,2.512047686349078e-21,True
M0/M1,P0,forward,0.12,Anode,total,reference,0.013606066730747825,1.0308110221536039e-18,True
M0/M1,P0,forward,0.12,Anode,total,candidate,0.013640343600489654,1.0329320641597521e-18,True
M0/M1,P0,forward,0.12,Anode,electron,reference,0.0002643649012620183,1.1977845046398523e-20,True
M0/M1,P0,forward,0.12,Anode,electron,candidate,0.00031260552311393984,1.415691071099011e-20,True
M0/M1,P0,forward,0.12,Anode,hole,reference,0.03345577652048717,1.0188331771071992e-18,False
M0/M1,P0,forward,0.12,Anode,hole,candidate,0.033468932790050435,1.0187751534487497e-18,False
M0/M1,P0,forward,0.12,Cathode,total,reference,0.013606066730733184,1.0308110221525069e-18,True
M0/M1,P0,forward,0.12,Cathode,total,candidate,0.013618009603750926,1.031199800989802e-18,True
M0/M1,P0,forward,0.12,Cathode,electron,reference,0.018353802378958933,1.0255527056066982e-18,True
M0/M1,P0,forward,0.12,Cathode,electron,candidate,0.018366902783945066,1.025782441692526e-18,True
M0/M1,P0,forward,0.12,Cathode,hole,reference,0.00026444591153796954,5.258316545799413e-21,True
M0/M1,P0,forward,0.12,Cathode,hole,candidate,0.0002725889048493323,5.417359297269718e-21,True
M0/M1,P0,forward,0.14,Anode,total,reference,0.009807445383893118,1.5511887010780055e-18,True
M0/M1,P0,forward,0.14,Anode,total,candidate,0.009853593309676958,1.5578176179901161e-18,True
M0/M1,P0,forward,0.14,Anode,electron,reference,0.0002653430896001814,2.6167856620999983e-20,True
M0/M1,P0,forward,0.14,Anode,electron,candidate,0.0003323673032608363,3.2764407898253627e-20,True
M0/M1,P0,forward,0.14,Anode,hole,reference,0.025611039204116105,1.5250208444565988e-18,False
M0/M1,P0,forward,0.14,Anode,hole,candidate,0.025623616676080364,1.5250532100918378e-18,False
M0/M1,P0,forward,0.14,Cathode,total,reference,0.00980744538387398,1.551188701074998e-18,True
M0/M1,P0,forward,0.14,Cathode,total,candidate,0.009818617809403862,1.5521614615492736e-18,True
M0/M1,P0,forward,0.14,Cathode,electron,reference,0.013402271019384066,1.539701101343995e-18,True
M0/M1,P0,forward,0.14,Cathode,electron,candidate,0.013414326002766675,1.5403115961106904e-18,True
M0/M1,P0,forward,0.14,Cathode,hole,reference,0.00026542021583874026,1.1487599732297146e-20,True
M0/M1,P0,forward,0.14,Cathode,hole,candidate,0.00027393697840295665,1.1849865438589367e-20,True
M0/M1,P0,forward,0.16,Anode,total,reference,0.006919680069879003,2.3028922870709896e-18,True
