stage,gate_V,drain_V,vela_A_per_m,sentaurus_A_per_m
D5,4,0.0,0.0,-3.6542007017665e-13
D5,4,1.33333333333333,95.01937705935352,93.97253243927199
D5,4,2.66666666666667,143.7642228587932,141.79418763901
D5,4,4.0,171.1269974164978,168.59181015689398
D5,4,5.33333333333333,189.31194257190245,186.388180133646
D5,4,6.66666666666667,201.9441804717782,198.778792768491
D5,4,8.0,210.48306104626312,207.186747532736
D5,4,9.33333333333333,215.93975014491818,212.605856486815
D5,4,10.6666666666667,219.2268851129384,215.917057977374
D5,4,12.0,221.1832691031935,217.91577591048798
D5,4,13.3333333333333,222.4077089675283,219.178369412256
D5,4,14.6666666666667,223.2453023468418,220.042676410792
D5,4,16.0,223.86787801244338,220.68435300146598
D5,4,17.3333333333333,224.3632319798557,221.192248868706
D5,4,18.6666666666667,224.7764345976677,221.613133558402
D5,4,20.0,225.1336230317964,221.974198015062
D5,4,21.3333333333333,225.44839968395004,222.292582432362
D5,4,22.6666666666667,225.73058289029126,222.579230515307
D5,4,24.0,225.98844498004183,222.841512884975
D5,4,25.3333333333333,226.22866599066126,223.083261484886
D5,4,26.6666666666667,226.4541533194992,223.30571276244498
D5,4,28.0,226.66610623584518,223.510981649891
D5,4,29.3333333333333,226.8651354563244,223.701758001641
D5,4,30.6666666666667,227.05197171022579,223.879357377756
D5,4,32.0,227.22731243796542,224.045152292414
D5,4,33.3333333333333,227.39153124441575,224.19957780963801
D5,4,34.6666666666667,227.54515495029244,224.34354265696
D5,4,36.0,227.68912128392353,224.477752931516
D5,4,37.3333333333333,227.82426604813716,224.603230898602
D5,4,38.6666666666667,227.95143901806756,224.72151403026498
D5,4,40.0,228.07182546632424,224.833171719662
D5,8,0.0,0.0,1.0444295351128999e-12
D5,8,1.33333333333333,122.21004117791165,120.948690895791
D5,8,2.66666666666667,190.51108714784854,187.988396150093
D5,8,4.0,230.62302620347606,227.15515122731702
D5,8,5.33333333333333,258.5972900065635,254.509574460383
D5,8,6.66666666666667,280.1704140703416,275.690218102601
D5,8,8.0,297.70939947864395,292.97831943415304
D5,8,9.33333333333333,312.45822025544106,307.561730866064
D5,8,10.6666666666667,325.11539099497753,320.10776975497197
D5,8,12.0,336.1436239830054,331.06022485472903
D5,8,13.3333333333333,345.87266750641186,340.73345804745304
D5,8,14.6666666666667,354.5345805352627,349.360246281164
D5,8,16.0,362.29002451954796,357.087195324996
D5,8,17.3333333333333,369.2541865134147,364.053431357057
D5,8,18.6666666666667,375.52072636066646,370.343596704569
D5,8,20.0,381.17401274256434,376.026996996099
D5,8,21.3333333333333,386.28163073620306,381.16972187916997
D5,8,22.6666666666667,390.9035360625782,385.82595617978797
D5,8,24.0,395.09810772502937,390.049804218261
D5,8,25.3333333333333,398.908583172173,393.903135971175
D5,8,26.6666666666667,402.3656604486147,397.406549079138
D5,8,28.0,405.4919744487243,400.574085370636
D5,8,29.3333333333333,408.3151698112235,403.444737699784
D5,8,30.6666666666667,410.8736658183258,406.06359968762297
D5,8,32.0,413.20881225584566,408.443885045078
D5,8,33.3333333333333,415.33344576786567,410.606743141642
D5,8,34.6666666666667,417.26834338871646,412.587968666887
D5,8,36.0,419.0495428253965,414.403349678238
D5,8,37.3333333333333,420.69520516336786,416.067164948913
D5,8,38.6666666666667,422.2125360155212,417.60316495593
D5,8,40.0,423.6178862037779,419.027790569749
D4,4,0.0,0.0,8.72893203776786e-14
D4,4,1.33333333333333,55.886992357165816,55.2556861091648
D4,4,2.66666666666667,91.74828736051519,90.4828814188283
D4,4,4.0,113.13081559496472,111.350963869815
D4,4,5.33333333333333,125.58032912482041,123.43025460007101
D4,4,6.66666666666667,132.16463065731978,129.77236859945
D4,4,8.0,135.31384761245525,132.816673503263
D4,4,9.33333333333333,136.85973929140292,134.330049832062
D4,4,10.6666666666667,137.7778487735992,135.24249741934
D4,4,12.0,138.43520116108735,135.900476617314
D4,4,13.3333333333333,138.95981362968593,136.429110191716
