gate_V,drain_V,vela_A_per_m,sentaurus_A_per_m,vela_peak_K,sentaurus_peak_K,relative_error_percent
4,0.0,0.0,-5.840759341134829e-13,300.0,300.00000000000006,
4,1.3333333333333333,55.027044026134476,55.0249083349755,301.29414690510214,301.2943375060701,0.003881317068210599
4,2.6666666666666665,89.4228005259971,89.4234283388532,304.33941284175313,304.3399721538542,0.0007020675316993241
4,4.0,109.16065644469876,109.169633490625,308.1917940744808,308.1931891237654,0.00822302469946079
4,5.333333333333333,120.05852634657377,120.077037085535,312.2711870403795,312.2739527270222,0.015415719283651264
4,6.666666666666667,125.34696202209773,125.37307657169801,316.29016851519276,316.2945355701532,0.020829471776862007
4,8.0,127.45743061572472,127.487477611298,320.1703995094563,320.1761956089712,0.023568585822131283
4,9.333333333333334,128.09239574774813,128.123256921676,323.93931287517455,323.9462111157702,0.02408709758816574
4,10.666666666666666,128.1456260375185,128.175683323176,327.6377322165462,327.64546553786533,0.023450068591968076
4,12.0,127.959445949659,127.987990926954,331.28443539203715,331.2928096260503,0.022302855985367742
4,13.333333333333334,127.65556648037608,127.68227381167901,334.88652594390965,334.89537559673624,0.0209170235661027
4,14.666666666666666,127.29209344289958,127.316811209313,338.45242443117763,338.46159658352275,0.01941437755048625
4,16.0,126.89292237995814,126.915588299142,341.9848129633503,341.9941654773692,0.017859050639579266
4,17.333333333333332,126.46862591880645,126.489231606634,345.4867984365345,345.49619918172914,0.01629046802309464
4,18.666666666666668,126.02394228536234,126.042510506063,348.9593222513974,348.9686565483423,0.014731712837290356
4,20.0,125.56091744019034,125.577477288792,352.4014005444698,352.4105518836565,0.013186957533461996
4,21.333333333333332,125.0854563475926,125.100041241408,355.81654934822944,355.82539310417184,0.011658584338314348
4,22.666666666666668,124.6005118889744,124.6131703865,359.2056293373794,359.2140870995444,0.010158234066548477
4,24.0,124.1082708783089,124.11905390061,362.568983032361,362.57695996550126,0.008687644613958323
4,25.333333333333332,123.61116327566374,123.620121161143,365.9078214769243,365.9151972666567,0.007246300517360638
4,26.666666666666668,123.111560305129,123.11874803426,369.22386515646474,369.2305779969841,0.0058380459887263925
4,28.0,122.61071824919956,122.61619395328098,372.51522696395284,372.52120368107285,0.004465726675140225
4,29.333333333333332,122.10991288432311,122.11372972454701,375.7840054630058,375.78917252446854,0.003125643801493716
4,30.666666666666668,121.60969581275063,121.611909611737,379.0305196658051,379.0347731206455,0.0018203800873139997
4,32.0,121.11050832342242,121.11117259304301,382.2554202357575,382.25872066991485,0.000548479224804499
4,33.333333333333336,120.61251812991834,120.611689557461,385.456449877553,385.45875020717216,0.0006869752512184135
4,34.666666666666664,120.11621516354572,120.113949843574,388.6330798075521,388.6342861315104,0.0018859757544120725
4,36.0,119.62216926871486,119.618520259681,391.7866015848741,391.7867017062636,0.003050538516879975
