gate_V,vela_A_per_m,sentaurus_A_per_m
0.0,3.6846998339184594e-09,3.29679394772149e-09
0.166666666666667,7.97148988607618e-08,6.77043094455847e-08
0.333333333333333,2.3010527121327956e-06,1.86073477840091e-06
0.5,8.27480755219105e-05,6.462248085219371e-05
0.666666666666667,0.003348428800936977,0.0026166188298109103
0.833333333333333,0.12155258221880205,0.0988946978767641
1.0,1.371711790622886,1.25415516282614
1.16666666666667,2.920133877624031,2.8279161100820702
1.33333333333333,3.9557741620021503,3.8799386130803097
1.5,4.724088094354937,4.6550609877128295
1.66666666666667,5.336494536439108,5.27037539454883
1.83333333333333,5.845705639191521,5.78071344668989
2.0,6.281055544311522,6.2162965381955
2.16666666666667,6.66074457868823,6.59574004500033
2.33333333333333,6.996932173026501,6.93141401034453
2.5,7.298183435604468,7.23199700635193
2.66666666666667,7.570775479913384,7.503830091535661
2.83333333333333,7.819452455580585,7.75169473231064
3.0,8.04788944579576,7.9792883801764
3.16666666666667,8.25899161220896,8.18952989680621
3.33333333333333,8.455094795570606,8.38476365380122
3.5,8.638104445718191,8.56690048199937
3.66666666666667,8.80959447947193,8.73751772503544
3.83333333333333,8.9708792629985,8.89793194567192
4.0,9.12306707561487,9.049252835858619
4.16666666666667,9.267100511751089,9.19242389939736
4.33333333333333,9.403787480602459,9.3282536298546
4.5,9.533825315090139,9.457439732766339
4.66666666666667,9.657819749830043,9.58058817819806
4.83333333333333,9.776300023664502,9.69822835089542
5.0,9.889731017291494,9.81082521885953
