gate_V,drain_V,electrons_m3_all_silicon_rms_percent,electrons_m3_silicon_oxide_interface_rms_percent,holes_m3_all_silicon_rms_percent,holes_m3_silicon_oxide_interface_rms_percent,conduction_band_eV_max_meV,valence_band_eV_max_meV
4,0.0,0.0002645999258717993,0.0005897674533041774,0.0003561994814109784,8.974683319844973e-06,0.33198159203168265,0.15223513652898313
4,1.3333333333333333,0.0015635230753870207,0.0009549395704456772,0.0023169236295863017,1.963251687014093e-05,0.33312973999577444,0.14967866731460666
4,2.6666666666666665,0.0013312247357506516,0.0007805406464911988,0.0043022889043944895,9.218299403214389e-05,0.3354383516196435,0.14286353504525118
4,4.0,0.007084284201487717,0.003972935236976256,0.017850017323132954,0.00018840048217819467,0.3381249952987275,0.3307384921069634
4,5.333333333333333,0.013442113669010504,0.01029161914170482,0.030023897328835553,0.0002889029301004082,0.6116726750959867,0.6123372913382497
4,6.666666666666667,0.01820321854179497,0.016936776513421972,0.03510873652997666,0.00038380256384544216,0.7778054029818904,0.7788628018512433
4,8.0,0.018306318859196473,0.021318626777693857,0.025949778341403024,0.0004702077325721871,0.7797850441852994,0.7812083538865089
4,9.333333333333334,0.017400224348722744,0.022986336479587293,0.023313377579773892,0.0005493769962121275,0.7091690967473419,0.7108854799047215
4,10.666666666666666,0.01747204714870216,0.02351222601815862,0.020775458185932023,0.0006238965352830252,0.6379012792221417,0.6398419343143225
4,12.0,0.017868246363492147,0.02409508480111391,0.023652312840546533,0.0006952783652360282,0.5770003584610883,0.5791127353256265
4,13.333333333333334,0.019010717895742272,0.02551020647492142,0.03672688497575675,0.0007641494736844532,0.5241156813360348,0.5263571186264748
4,14.666666666666666,0.0197294106002134,0.02830038173146568,0.03233632329468485,0.0008309614721119391,0.47639609690186546,0.47872918027680456
4,16.0,0.020850101136178925,0.03369079361581444,0.03000656626117745,0.000895844544792382,0.591837349034563,0.589484281896091
4,17.333333333333332,0.021380285416377133,0.04203108331164605,0.018751888014375162,0.0009589178127046954,0.8505075972831122,0.848139519529667
4,18.666666666666668,0.023432505967071315,0.05274556314031165,0.01789108997616163,0.0010202482285038691,1.1455641529067861,1.1432706450733576
