node_id,donors_cm3,acceptors_cm3
0,5000000000000008,0
1,5000000000000008,0
2,5000000000000008,0
3,5000000000000008,0
4,5000000000000008,0
5,5000000000000008,3.6196155468447431e-16
6,5000000000000008,4.1275421311319369e-16
7,5000000000000008,2.4878666190040813e-16
8,5000000000000008,0
9,5000000000000008,0
10,5000000000000008,0
11,5000000000000008,0
12,5000000000000008,1.4474108131517615e-16
13,5000000000000008,8.5077030364852395e-17
14,5000000000000008,2.0039918450361681e-10
15,5000000000000008,2.2852042333727994e-10
16,5000000000000008,1.3774016470804352e-10
17,5000000000000008,3.2732925621560727e-05
18,5000000000000008,3.7326209877724095e-05
19,5000000000000008,2.2498287992826341e-05
20,5000000000000008,8.0135567671041536e-11
21,5000000000000008,4.710270271650269e-11
22,5000000000000008,1.3089232786625474e-05
23,5000000000000008,7.6936903132254993e-06
24,5000000000000115,0
25,5000000000000115,0
26,5000000000001855,0
27,5000000000001855,0
28,5000000000000115,6.174960486272064e-17
29,5000000000001855,5.4015900790246785e-17
30,5000000000028536,0
31,5000000000028536,0
32,5000000000394324,0
33,5000000000394324,0
34,5000000000028536,4.0123993361345052e-17
35,5000000000394324,2.2375913828565297e-17
36,5000000000000115,3.418752709440889e-11
37,5000000000001855,2.9905779573827304e-11
38,5000000000000115,5.5841433902949916e-06
39,5000000000001855,4.8847686724354504e-06
40,5000000000028536,2.2214556890306691e-11
41,5000000000394324,1.2388373366548747e-11
42,5000000000028536,3.6284949971601045e-06
43,5000000000394324,2.023499771138267e-06
44,5000000000000008,1.5773536176801408
45,5000000000000008,1.7986975214380201
46,5000000000000008,1.084160834487675
47,5000000000000008,22424.80511646645
48,5000000000000008,25571.590878297346
49,5000000000000008,15413.218162233186
50,5000000000000008,0.63075170631988198
51,5000000000000008,0.37074810816431597
52,5000000000000008,8967.2245541901539
53,5000000000000008,5270.8244870994586
54,5000000000000008,94055383.283189297
55,5000000000000008,107253809.73113005
56,5000000000000008,64646989.543367341
57,5000000000000008,116384194828.49269
58,5000000000000008,132715936633.44278
59,5000000000000008,79994228543.381561
60,5000000000000008,37610839.338419229
61,5000000000000008,22107189.550937645
62,5000000000000008,46539678011.264725
63,5000000000000008,27355451288.311413
64,5000000000000115,0.26909201090551582
65,5000000000001855,0.23539012754550412
66,5000000000000115,3825.6075462832
67,5000000000001855,3346.477085025148
68,5000000000028536,0.17485206720217053
69,5000000000394324,0.097509606115913541
70,5000000000028536,2485.8240329056539
71,5000000000394324,1386.2674099348189
72,5000000000000115,16045579.089225352
73,5000000000001855,14035983.066328971
74,5000000000000115,19854810407.116428
75,5000000000001855,17368134930.486488
76,5000000000028536,10426183.459575407
77,5000000000394324,5814361.0121575473
78,5000000000028536,12901366457.923021
79,5000000000394324,7194694245.247776
80,5000000004893161,0
81,5000000004893161,0
82,5000000054549404,0
83,5000000054549404,0
84,5000000004893161,9.2278045074980162e-18
85,5000000054549404,0
86,5000000546320040,0
87,5000000546320040,0
88,5000004915435818,0
89,5000004915435818,0
90,5000000546320040,0
91,5000004915435818,0
92,5000000004893161,5.1089527993474542e-12
93,5000000054549404,1.5537514533255504e-12
94,5000000004893161,8.3448928397254427e-07
95,5000000054549404,2.5378761336815379e-07
96,5000000546320040,3.4829210703023077e-13
97,5000004915435818,5.7541126068447453e-14
98,5000000546320040,5.688955103403354e-08
99,5000004915435818,9.3986879459848596e-09
100,5000039731479068,0
101,5000039731479068,0
102,5000288512905731,0
103,5000288512905731,0
104,5000039731479068,0
105,5000288512905731,0
106,5001882147118093,0
107,5001882147118093,0
108,5011030614309396,0
109,5011030614309396,0
110,5001882147118093,0
111,5011030614309396,0
112,5000039731479068,7.0061352306704284e-15
113,5000288512905731,6.2869905169361358e-16
114,5000039731479068,1.1443724382820149e-09
115,5000288512905731,1.0269083354010129e-10
116,5001882147118093,4.1578707917240964e-17
117,5011030614309396,0
118,5001882147118093,6.791408643038131e-12
119,5011030614309396,3.3101821971669466e-13
120,5000000004893161,0.040212864141981365
121,5000000054549404,0.01222966790982428
122,5000000004893161,571.6952948604677
123,5000000054549404,173.86584494620638
124,5000000546320040,0.0027414273984915269
125,5000004915435818,0.00045290954448877285
126,5000000546320040,38.974123787491997
127,5000004915435818,6.438891163470144
128,5000000004893161,2397836.6723826467
129,5000000054549404,729237.93992140621
130,5000000004893161,2967084718.6411371
131,5000000054549404,902359519.60987568
132,5000000546320040,163467.46970243729
133,5000004915435818,27006.360731056182
134,5000000546320040,202274757.46589684
