mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um,max_electric_field_V_per_m,max_electric_field_V_per_cm,current_jump_ratio,breakdown_detected,breakdown_voltage,criterion,last_stable_bias,failed_bias,failure_reason
bv_reverse,drain,0,drain,-5.4241018968483647e-14,-1.6195659949218747e-24,-5.424101897010321e-14,1,1,attempted_step=0;accepted_step=0;retry_count=0,,-5.4241018970103207e-20,-5.4241018968483645e-20,-1.6195659949218747e-30,6575145.0268439921,65751.450268439919,0,0,0,,0,0,
bv_reverse,drain,0.10000000000000001,drain,1.4885590150475136e-07,-6.8985383881674656e-10,1.4816604766593462e-07,1,1,attempted_step=0.10000000000000001;accepted_step=0.10000000000000001;retry_count=0,,1.4816604766593462e-13,1.4885590150475136e-13,-6.8985383881674656e-16,8575145.0268439911,85751.450268439905,2731623.6029341817,1,0.10000000000000001,current_jump,0,0,
bv_reverse,drain,0.20000000000000001,drain,1.7122234343241868e-07,-8.1589948332759334e-10,1.7040644394909109e-07,1,1,attempted_step=0.10000000000000001;accepted_step=0.10000000000000001;retry_count=0,,1.7040644394909109e-13,1.7122234343241868e-13,-8.1589948332759338e-16,10575145.026843993,105751.45026843993,1.1501045390189606,0,0,,0,0,
