mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um
iv,gate,0,drain,2.2320846358344093e-07,-3.6201091802765678e-10,2.2284645266541329e-07,1,1,attempted_step=0;accepted_step=0;retry_count=0,,2.228464526654133e-13,2.2320846358344094e-13,-3.620109180276568e-16
iv,gate,0.050000000000000003,drain,4.0273734541529435e-07,-3.6014280747899241e-10,4.0237720260781538e-07,1,1,attempted_step=0.050000000000000003;accepted_step=0.050000000000000003;retry_count=0,,4.0237720260781537e-13,4.0273734541529435e-13,-3.601428074789924e-16
iv,gate,0.10000000000000001,drain,9.8331491882347112e-07,-3.5725148507041559e-10,9.8295766733840069e-07,1,1,attempted_step=0.050000000000000003;accepted_step=0.050000000000000003;retry_count=0,,9.8295766733840069e-13,9.8331491882347104e-13,-3.5725148507041561e-16
