mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um
iv,drain,0,drain,-2.6641091869885162e-14,-1.8331351371093748e-24,-2.6641091871718298e-14,1,1,attempted_step=0;accepted_step=0;retry_count=0,,-2.6641091871718299e-20,-2.6641091869885163e-20,-1.8331351371093747e-30
iv,drain,0.050000000000000003,drain,2.0694652988561224e-06,-5.37168591975379e-10,2.0689281302641472e-06,1,1,attempted_step=0.050000000000000003;accepted_step=0.050000000000000003;retry_count=0,,2.068928130264147e-12,2.0694652988561225e-12,-5.3716859197537897e-16
iv,drain,0.10000000000000001,drain,2.5274577220444342e-06,-6.694921191477474e-10,2.5267882299252866e-06,1,1,attempted_step=0.050000000000000003;accepted_step=0.050000000000000003;retry_count=0,,2.5267882299252868e-12,2.5274577220444341e-12,-6.6949211914774739e-16
