mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um
iv,gate,0,drain,2.4951881214321544e-07,-6.8251401009327416e-10,2.4883629813312215e-07,1,1,attempted_step=0;accepted_step=0;retry_count=0,,2.4883629813312213e-13,2.4951881214321546e-13,-6.8251401009327411e-16
iv,gate,0.050000000000000003,drain,4.4977703982253765e-07,-6.7830627123763046e-10,4.4909873355130005e-07,1,1,attempted_step=0.050000000000000003;accepted_step=0.050000000000000003;retry_count=0,,4.4909873355130007e-13,4.4977703982253765e-13,-6.7830627123763042e-16
iv,gate,0.10000000000000001,drain,1.0963653236900156e-06,-6.7199583594253262e-10,1.095693327854073e-06,1,1,attempted_step=0.050000000000000003;accepted_step=0.050000000000000003;retry_count=0,,1.0956933278540731e-12,1.0963653236900155e-12,-6.7199583594253262e-16
