mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um,charge_C_per_m,capacitance_F_per_m,charge_C_per_um,capacitance_F_per_um,charge_gate_C_per_m,capacitance_Cgate_gate_F_per_m,charge_drain_C_per_m,capacitance_Cgate_drain_F_per_m,charge_source_C_per_m,capacitance_Cgate_source_F_per_m,charge_body_C_per_m,capacitance_Cgate_body_F_per_m
cv_quasistatic,gate,0,drain,-5.1023915240338133e-14,-1.9107966433593748e-24,-5.1023915242248931e-14,1,1,attempted_step=0;accepted_step=0;retry_count=0,,-5.1023915242248932e-20,-5.1023915240338133e-20,-1.9107966433593747e-30,4.5536667627953742e-12,0,4.5536667627953743e-18,0,4.5536667627953742e-12,0,2.5038954256998546e-12,0,3.0044033529076323e-12,0,-9.5463201581211447e-13,0
cv_quasistatic,gate,0.050000000000000003,drain,-9.1053790766182636e-11,6.8202496583554711e-22,-9.1053790765500613e-11,1,1,attempted_step=0.050000000000000003;accepted_step=0.050000000000000003;retry_count=0,,-9.1053790765500617e-17,-9.1053790766182637e-17,6.8202496583554713e-28,4.5415269522696234e-12,-2.427962105150157e-13,4.5415269522696235e-18,-2.4279621051501571e-19,4.5415269522696234e-12,-2.427962105150157e-13,2.5037766287933579e-12,-2.3759381299338959e-15,3.0043098466240514e-12,-1.8701256716168811e-15,-9.6655952314778711e-13,-2.3855014671345281e-13
cv_quasistatic,gate,0.10000000000000001,drain,-1.7436181388295307e-10,9.7802694306328154e-22,-1.7436181388197503e-10,1,1,attempted_step=0.050000000000000003;accepted_step=0.050000000000000003;retry_count=0,,-1.7436181388197503e-16,-1.7436181388295307e-16,9.7802694306328159e-28,4.5288165632114893e-12,-2.5420778116268208e-13,4.5288165632114896e-18,-2.5420778116268206e-19,4.5288165632114893e-12,-2.5420778116268208e-13,2.5036359703355961e-12,-2.8131691552365866e-15,3.0041815824063817e-12,-2.5652843533950181e-15,-9.7900098953048943e-13,-2.4882932765404643e-13
