model,VBE_V,VCE_V,Ic_A_per_um,Ib_A_per_um,Ie_A_per_um,beta_abs,alpha_abs,kcl_abs_A_per_um,kcl_relative
M0,0.7,0.0,-8.49407158293213e-08,1.01347928127904e-07,-1.64072122985827e-08,0.8381100373568926,5.177035213755277,9.926167350636332e-24,9.794149257900194e-17
M0,0.7,0.1,1.65480876982543e-06,1.79713943928101e-08,-1.67278016421825e-06,92.08015436395281,0.9892565713192691,9.975798187389514e-21,5.963603826000389e-15
M0,0.7,0.2,1.70836719934077e-06,1.61581598445554e-08,-1.72452535918533e-06,105.72783137285373,0.9906303727234298,4.5263323118901674e-21,2.624682952779783e-15
M0,0.7,0.3,1.7183400932454e-06,1.6112875338906e-08,-1.73445296858431e-06,106.64391408132552,0.9907101111239347,3.904292491250291e-21,2.2510224041629914e-15
M0,0.7,0.4,1.72597350882336e-06,1.6106778423975e-08,-1.74208028724734e-06,107.15820776762172,0.9907542846665062,4.9730098426688024e-21,2.85463872077139e-15
M0,0.7,0.5,1.73274041047151e-06,1.61022558420764e-08,-1.74884266631358e-06,107.60855047053279,0.9907926217994142,6.465243667714464e-21,3.696869816964541e-15
M0,0.7,0.6,1.73895513810381e-06,1.6098215281559e-08,-1.75505335338538e-06,108.02161032694328,0.9908275066108289,1.0978341089803783e-20,6.255274843142119e-15
M0,0.7,0.7,1.74478100261894e-06,1.60944983887357e-08,-1.76087550100768e-06,108.40853566707528,0.9908599453058835,4.238473458721714e-21,2.407026195944121e-15
M0,0.7,0.8,1.75030767517514e-06,1.6091029864644e-08,-1.76639870503979e-06,108.77536676636228,0.9908904881900445,6.074814418589435e-21,3.4390958288505955e-15
M0,0.7,0.9,1.75558817773396e-06,1.60877648026905e-08,-1.77167594253665e-06,109.12567403026412,0.9909194653398883,3.407984123718474e-22,1.9235933851644395e-16
M0,0.7,1.0,1.76065856815918e-06,1.60846721677704e-08,-1.77674324032695e-06,109.46188705587005,0.990947103778028,2.481541837659083e-22,1.3966800499561425e-16
M0,0.7,1.1,1.76554613505647e-06,1.60817284634178e-08,-1.7816278635199e-06,109.78584416921835,0.9909735760240874,1.2073528220823992e-20,6.776683542078616e-15
M0,0.7,1.2,1.7702730616501e-06,1.60789148819533e-08,-1.78635197653206e-06,110.09903806612125,0.9909990219770827,6.733250186181645e-21,3.769274070641588e-15
M0,0.7,1.3,1.77485868887225e-06,1.60762155137861e-08,-1.79093490438604e-06,110.40276782494155,0.9910235623447736,3.920836103501351e-21,2.189267791866212e-15
M0,0.7,1.4,1.77932029322643e-06,1.60736165921243e-08,-1.79539390981856e-06,110.69819184926034,0.9910473036004926,5.67445900211377e-21,3.1605649161900205e-15
M0,0.7,1.5,1.78367365402009e-06,1.60711059787311e-08,-1.79974475999882e-06,110.98636623892891,0.9910703415640224,1.2109924167776325e-21,6.728689776979412e-16
M0,0.7,1.6,1.78793363104216e-06,1.60686726843338e-08,-1.80400230372651e-06,111.26828370742227,0.9910927648755453,1.6103552165182343e-20,8.92656962350735e-15
M0,0.7,1.7,1.79211410114341e-06,1.60663067815207e-08,-1.80818040792493e-06,111.54486998870712,0.9911146549807175,7.709323308994218e-22,4.26358082147425e-16
M0,0.7,1.8,1.79622759700778e-06,1.60639995100882e-08,-1.81229159651787e-06,111.81696039518353,0.9911360845346546,1.9223677435732363e-21,1.0607386511458013e-15
M0,0.7,1.9,1.80028532183527e-06,1.60617432009466e-08,-1.81634706503622e-06,112.08530103564165,0.9911571177611753,3.467541127822292e-21,1.9090740941369295e-15
M0,0.7,2.0,1.80429747755317e-06,1.60595310340386e-08,-1.82035700858721e-06,112.35057074387252,0.9911778123970837,1.31687153518442e-21,7.23413884733771e-16
M0,0.7,2.1,1.80827341602406e-06,1.60573568990778e-08,-1.82433077292314e-06,112.61339131896061,0.991198220664035,2.1903742620404173e-21,1.2006453514626423e-15
M0,0.7,2.2,1.81222140723342e-06,1.6055215470068e-08,-1.82827662270349e-06,112.8743124383459,0.9912183882511559,1.8330322374175093e-21,1.0026011461586088e-15
M0,0.7,2.3,1.81614824700709e-06,1.60531023691924e-08,-1.83220134937629e-06,113.13378593364422,0.9912383525016697,7.732484366145703e-21,4.220324566826654e-15
M0,0.7,2.4,1.82005902991998e-06,1.60510142455249e-08,-1.83611004416551e-06,113.39215093073766,0.9912581414733097,5.082197683525802e-21,2.7679156266669193e-15
M0,0.7,2.5,1.82395723506158e-06,1.60489487024329e-08,-1.84000618376401e-06,113.64963954212664,0.9912777745835617,2.838883862281991e-21,1.5428664791085789e-15
M0,0.7,2.6,1.82784507060333e-06,1.60469040877041e-08,-1.84389197469104e-06,113.90639967767437,0.99129726453178,5.770411953169921e-21,3.1294739780711957e-15
M0,0.7,2.7,1.8317239228782e-06,1.60448792441959e-08,-1.8477688021224e-06,114.16252469091101,0.9913166196843618,4.116050728063866e-21,2.227578863403285e-15
M0,0.7,2.8,1.83559474498103e-06,1.60428732914081e-08,-1.85163761827244e-06,114.41807908338332,0.9913358461001792,1.856193294568994e-21,1.0024603498284964e-15
M0,0.7,2.9,1.83945827133161e-06,1.60408855004423e-08,-1.85549915683206e-06,114.67311273313996,0.9913549486447427,7.5405784640334e-21,4.063908321525523e-15
M0,0.7,3.0,1.84331503939666e-06,1.6038915270621e-08,-1.85935395466729e-06,114.92766239454609,0.9913739311278685,8.95009422782376e-21,4.813550537463576e-15
