mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um,charge_C_per_m,capacitance_F_per_m,charge_C_per_um,capacitance_F_per_um
cv_quasistatic,anode,0,anode,-1.0620664302185776e-18,3.7011112968960003e-18,2.6390448666774225e-18,1,2,attempted_step=0;accepted_step=0;retry_count=0,,2.6390448666774227e-24,-1.0620664302185776e-24,3.7011112968960005e-24,-4.449528343106674e-12,0,-4.449528343106674e-18,0
cv_quasistatic,anode,-0.25,anode,-9.1407713011119856e-10,8.1867806962222351e-09,7.2727035661110363e-09,1,15,attempted_step=-0.25;accepted_step=-0.25;retry_count=0,,7.2727035661110366e-15,-9.140771301111986e-16,8.186780696222235e-15,-4.4504828429525608e-12,3.8179993835472174e-15,-4.4504828429525612e-18,3.8179993835472173e-21
cv_quasistatic,anode,-0.5,anode,-1.1845111228812009e-09,8.4296891007915376e-09,7.2451779779103371e-09,1,14,attempted_step=-0.25;accepted_step=-0.25;retry_count=0,,7.2451779779103369e-15,-1.1845111228812008e-15,8.4296891007915376e-15,-4.450490466347506e-12,3.0493579780965251e-17,-4.4504904663475061e-18,3.0493579780965251e-23
