mode,bias_contact,bias_V,current_contact,current_electron,current_hole,current_total,converged,iterations,step_diagnostics,validation_diagnostics,current_total_A_per_um,current_electron_A_per_um,current_hole_A_per_um,max_electric_field_V_per_m,max_electric_field_V_per_cm,current_jump_ratio,breakdown_detected,breakdown_voltage,criterion,last_stable_bias,failed_bias,failure_reason
bv_reverse,anode,0,anode,-1.0620664302185776e-18,3.7011112968960003e-18,2.6390448666774225e-18,1,2,attempted_step=0;accepted_step=0;retry_count=0,,2.6390448666774227e-24,-1.0620664302185776e-24,3.7011112968960005e-24,349176.85904354742,3491.7685904354744,0,0,0,,0,0,
bv_reverse,anode,-0.5,anode,-1.1845111456265348e-09,8.4296890930160597e-09,7.2451779473895249e-09,1,15,attempted_step=-0.5;accepted_step=-0.5;retry_count=0,,7.2451779473895247e-15,-1.1845111456265348e-15,8.4296890930160591e-15,599192.85878248967,5991.9285878248966,2745378844.7754807,0,0,,0,0,
bv_reverse,anode,-1,anode,-1.7252457473681771e-09,8.6234915335946337e-09,6.8982457862264565e-09,1,15,attempted_step=-0.5;accepted_step=-0.5;retry_count=0,,6.8982457862264566e-15,-1.7252457473681772e-15,8.6234915335946338e-15,849192.84856511932,8491.9284856511931,0.95211543958170552,0,0,,0,0,
